Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,USB,WFC,USB,WFC,USB,WFC,USB,WFC,USB,WFC
Date,,,,,,,,,,
1972-06-01,,0.1397157460451126,,0.14012923253736553,,0.1397157460451126,,0.1397157460451126,,249600
1972-06-02,,0.14012925326824188,,0.1413692587972104,,0.14012925326824188,,0.14012925326824188,,172800
1972-06-05,,0.14219599962234497,,0.14219599962234497,,0.13971583595813444,,0.1401293227164835,,302400
1972-06-06,,0.14219599962234497,,0.1446761632865555,,0.14178266424117267,,0.14219599962234497,,196800
1972-06-07,,0.14095601439476013,,0.14219602072227688,,0.14095601439476013,,0.14219602072227688,,48000
1972-06-08,,0.14136934280395508,,0.14219601364783827,,0.14054267196007186,,0.14095600738201347,,144000
1972-06-09,,0.14136934280395508,,0.14219601364783827,,0.14054267196007186,,0.14136934280395508,,43200
1972-06-12,,0.1430228054523468,,0.1430228054523468,,0.1421959834071116,,0.1421959834071116,,24000
1972-06-13,,0.14054259657859802,,0.14260942395693352,,0.14054259657859802,,0.14260942395693352,,76800
1972-06-14,,0.14054259657859802,,0.141369266979088,,0.14054259657859802,,0.14054259657859802,,244800
1972-06-15,,0.1417827308177948,,0.1417827308177948,,0.14136939524253336,,0.14136939524253336,,206400
1972-06-16,,0.1430228054523468,,0.1430228054523468,,0.14178264807307375,,0.14178264807307375,,48000
1972-06-19,,0.1417827308177948,,0.1421960663930562,,0.1417827308177948,,0.1421960663930562,,91200
1972-06-20,,0.14219599962234497,,0.14219599962234497,,0.14178266424117267,,0.14178266424117267,,14400
1972-06-21,,0.1417827308177948,,0.1421960663930562,,0.1417827308177948,,0.1421960663930562,,48000
1972-06-22,,0.1430228054523468,,0.1430228054523468,,0.14136931273903589,,0.14178264807307375,,86400
1972-06-23,,0.14508965611457825,,0.14508965611457825,,0.1438494985420039,,0.1438494985420039,,96000
1972-06-26,,0.14550288021564484,,0.14550288021564484,,0.14384938850938805,,0.1450895451333475,,62400
1972-06-27,,0.1463296264410019,,0.1471562970352922,,0.1463296264410019,,0.1463296264410019,,67200
1972-06-28,,0.15046338737010956,,0.15046338737010956,,0.14756988688982411,,0.14756988688982411,,144000
1972-06-29,,0.15004990994930267,,0.15004990994930267,,0.15004990994930267,,0.15004990994930267,,28800
1972-06-30,,0.1521165519952774,,0.1521165519952774,,0.15046321158230236,,0.15046321158230236,,72000
1972-07-03,,0.15459667146205902,,0.15459667146205902,,0.15211651014781727,,0.15211651014781727,,57600
1972-07-05,,0.15294340252876282,,0.15459674325469078,,0.15294340252876282,,0.15459674325469078,,211200
1972-07-06,,0.16038399934768677,,0.16038399934768677,,0.15377017780042737,,0.15377017780042737,,254400
1972-07-07,,0.16121064126491547,,0.1628641341984873,,0.16038397048671937,,0.16038397048671937,,412800
1972-07-10,,0.1620371788740158,,0.1620371788740158,,0.16038383867640946,,0.16121050877521265,,0
1972-07-11,,0.1620371788740158,,0.16245066530047267,,0.16121050877521265,,0.1620371788740158,,2904000
1972-07-12,,0.1620371788740158,,0.16286400034987428,,0.1620371788740158,,0.1620371788740158,,259200
1972-07-13,,0.16369076073169708,,0.16369076073169708,,0.16203726824505793,,0.16203726824505793,,225600
1972-07-14,,0.16369076073169708,,0.16369076073169708,,0.1624507548995718,,0.16369076073169708,,172800
1972-07-17,,0.16410407423973083,,0.16410407423973083,,0.16286406857209937,,0.163690739017187,,62400
1972-07-18,,0.16451746225357056,,0.16534428434109222,,0.1632774561880389,,0.16410412689839332,,220800
1972-07-19,,0.16534429788589478,,0.16534429788589478,,0.16369080495256655,,0.16451747573064082,,24000
1972-07-20,,0.16493071615695953,,0.1653440509286414,,0.1641038952366422,,0.1653440509286414,,76800
1972-07-21,,0.16617093980312347,,0.16617093980312347,,0.16493093385137833,,0.16493093385137833,,273600
1972-07-24,,0.16575761139392853,,0.1661709467284029,,0.16534427605945415,,0.1661709467284029,,225600
1972-07-25,,0.16741102933883667,,0.16782436448870475,,0.16575753736227225,,0.16575753736227225,,278400
1972-07-26,,0.16823776066303253,,0.16823776066303253,,0.16782442536323636,,0.16782442536323636,,86400
1972-07-27,,0.16534429788589478,,0.16823779698633445,,0.16534429788589478,,0.16823779698633445,,518400
1972-07-28,,0.1665843427181244,,0.16699767820309894,,0.16617100723314987,,0.16617100723314987,,67200
1972-07-31,,0.16783376038074493,,0.16783376038074493,,0.16700088920437686,,0.16783376038074493,,86400
1972-08-01,,0.1699160486459732,,0.17074891961554867,,0.16700084773992116,,0.16783371870949662,,264000
1972-08-02,,0.1715819090604782,,0.17241477986483478,,0.1690831441349009,,0.16991601493925745,,211200
1972-08-03,,0.17241482436656952,,0.17241482436656952,,0.16991605879603952,,0.17158195334724186,,264000
1972-08-04,,0.17408069968223572,,0.17491357060953294,,0.17324767624240828,,0.17324767624240828,,681600
1972-08-07,,0.17616303265094757,,0.17657946812201403,,0.1757464446673482,,0.1757464446673482,,206400
1972-08-08,,0.17574644088745117,,0.17616302886209068,,0.17574644088745117,,0.17616302886209068,,547200
1972-08-09,,0.17491358518600464,,0.1765794796919571,,0.17491358518600464,,0.17574645618270943,,244800
1972-08-10,,0.17657944560050964,,0.17657944560050964,,0.17574642225209028,,0.17574642225209028,,153600
1972-08-11,,0.17657944560050964,,0.17657944560050964,,0.17616301018255667,,0.17657944560050964,,86400
1972-08-14,,0.17741236090660095,,0.17824523195127434,,0.17657948986192756,,0.17657948986192756,,124800
1972-08-15,,0.17866180837154388,,0.17991111485733785,,0.1782452203637375,,0.1782452203637375,,120000
1972-08-16,,0.1807439923286438,,0.18157701586158387,,0.179911121308251,,0.179911121308251,,81600
1972-08-17,,0.1811605989933014,,0.18157703454635016,,0.1811605989933014,,0.1811605989933014,,67200
1972-08-18,,0.184492290019989,,0.18574159704540905,,0.18324283048196136,,0.18324283048196136,,321600
1972-08-21,,0.185325026512146,,0.185325026512146,,0.184492155767933,,0.184492155767933,,19200
1972-08-22,,0.188240185379982,,0.188240185379982,,0.18574142118240497,,0.18574142118240497,,350400
1972-08-23,,0.1890733540058136,,0.1890733540058136,,0.18740745908750886,,0.1882403302903709,,177600
1972-08-24,,0.18990617990493774,,0.18990617990493774,,0.18907330890076415,,0.18907330890076415,,72000
1972-08-25,,0.18865689635276794,,0.18948976745827784,,0.18824030828745017,,0.18948976745827784,,244800
1972-08-28,,0.18782386183738708,,0.1890733209357227,,0.18782386183738708,,0.18865688540712883,,81600
1972-08-29,,0.1874074637889862,,0.18740746378898618,,0.18740746378898618,,0.18740746378898618,,52800
1972-08-30,,0.18657442927360535,,0.18782373501583605,,0.18657442927360535,,0.1874072997684258,,91200
1972-08-31,,0.1869909018278122,,0.18740733715830596,,0.1869909018278122,,0.1869909018278122,,33600
1972-09-01,,0.18782386183738708,,0.18782386183738708,,0.18699099078019935,,0.18699099078019935,,48000
1972-09-05,,0.1869909018278122,,0.18824020781929351,,0.1869909018278122,,0.18782377248879975,,172800
1972-09-06,,0.18615812063217163,,0.1865745561627993,,0.18574153258898926,,0.1865745561627993,,100800
1972-09-07,,0.18407583236694336,,0.18532513924320124,,0.18407583236694336,,0.18532513924320124,,33600
1972-09-08,,0.18282634019851685,,0.18324277574927192,,0.1807440099321793,,0.18324277574927192,,211200
1972-09-11,,0.18324270844459534,,0.18324270844459534,,0.1824098376489969,,0.18282627304679613,,33600
1972-09-12,,0.18490873277187347,,0.18532516846295113,,0.18365942569864052,,0.18365942569864052,,139200
1972-09-13,,0.18490873277187347,,0.18574160415402877,,0.18490873277187347,,0.18490873277187347,,134400
1972-09-14,,0.18490873277187347,,0.18574160415402877,,0.18490873277187347,,0.18490873277187347,,230400
1972-09-15,,0.18574154376983643,,0.18574154376983643,,0.1849086726584458,,0.1849086726584458,,0
1972-09-18,,0.18490873277187347,,0.18490873277187347,,0.18365942569864052,,0.18490873277187347,,91200
1972-09-19,,0.18490873277187347,,0.18490873277187347,,0.18490873277187347,,0.18490873277187347,,52800
1972-09-20,,0.18324270844459534,,0.18490860254829825,,0.18324270844459534,,0.18490860254829825,,187200
1972-09-21,,0.18490873277187347,,0.18490873277187347,,0.18365942569864052,,0.18365942569864052,,72000
1972-09-22,,0.18490873277187347,,0.18574160415402877,,0.18490873277187347,,0.18490873277187347,,67200
1972-09-25,,0.18407583236694336,,0.18532513924320124,,0.18407583236694336,,0.18490870361778194,,144000
