Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,MA,KO,MA,KO,MA,KO,MA,KO,MA
Date,,,,,,,,,,
1962-01-02,0.04571640491485596,,0.046961081788123624,,0.04571640491485596,,0.04571640491485596,,806400,
1962-01-03,0.04469782114028931,,0.04503745427980679,,0.04401891228257981,,0.04503745427980679,,1574400,
1962-01-04,0.04503748565912247,,0.04537693773447668,,0.04481118082220445,,0.04481118082220445,,844800,
1962-01-05,0.0440189465880394,,0.04560324633805301,,0.043905794160234414,,0.04503748937905136,,1420800,
1962-01-08,0.04356631636619568,,0.04367946874072955,,0.04271758808684828,,0.04367946874072955,,2035200,
1962-01-09,0.044358402490615845,,0.044584707365608246,,0.04322688329567755,,0.043566340608166144,,960000,
1962-01-10,0.04458470642566681,,0.045207132879176555,,0.043905796995026176,,0.044358401555445404,,1612800,
1962-01-11,0.04503748565912247,,0.04503748565912247,,0.04435839502759256,,0.04458469986451058,,614400,
1962-01-12,0.04469782114028931,,0.04503745427980679,,0.04424521696182271,,0.04503745427980679,,883200,
1962-01-15,0.04424525797367096,,0.04458471012716135,,0.04413210552916615,,0.04458471012716135,,614400,
1962-01-16,0.043453190475702286,,0.04413210513669341,,0.0433965287835576,,0.04413210513669341,,1113600,
1962-01-17,0.042095355689525604,,0.04345317948814499,,0.042095355689525604,,0.04345317948814499,,1574400,
1962-01-18,0.04124663025140762,,0.042321661155136234,,0.041076816145759955,,0.042095358898124643,,2649600,
1962-01-19,0.04254800081253052,,0.04254800081253052,,0.04164260974293755,,0.04164260974293755,,1459200,
1962-01-22,0.04288741946220398,,0.04300057187566209,,0.04209535515800845,,0.042547962221829626,,1075200,
1962-01-23,0.0419820211827755,,0.04277425886617541,,0.0419820211827755,,0.04277425886617541,,768000,
1962-01-24,0.041529420763254166,,0.04209535637769921,,0.04073735643610899,,0.04198203043020077,,2611200,
1962-01-25,0.041189953684806824,,0.04220849613315509,,0.041189953684806824,,0.041529410854019705,,1574400,
1962-01-26,0.04073737561702728,,0.04118998290706959,,0.04051107067699983,,0.04118998290706959,,1574400,
1962-01-29,0.04073737561702728,,0.040850528087041,,0.040624223147013555,,0.04073737561702728,,307200,
1962-01-30,0.0405675545334816,,0.041076826032236724,,0.0405675545334816,,0.04073736868000057,,1574400,
1962-01-31,0.042208511382341385,,0.042208511382341385,,0.040737361433553,,0.040737361433553,,1766400,
1962-02-01,0.04254800081253052,,0.04322691331903621,,0.04254800081253052,,0.04254800081253052,,1420800,
1962-02-02,0.04300060495734215,,0.04300060495734215,,0.04186890901136721,,0.04254799495530296,,1152000,
1962-02-05,0.04300060495734215,,0.04300060495734215,,0.04266114745581276,,0.04300060495734215,,384000,
1962-02-06,0.042434826493263245,,0.04300058878300514,,0.042434826493263245,,0.04300058878300514,,691200,
1962-02-07,0.042661137878894806,,0.042661137878894806,,0.04243483292867799,,0.04243483292867799,,192000,
1962-02-08,0.042774274945259094,,0.04300057981395323,,0.042208512773523756,,0.04266112251091203,,768000,
1962-02-09,0.04300060495734215,,0.04300060495734215,,0.04254799495530296,,0.04277429995632256,,729600,
1962-02-12,0.042661137878894806,,0.043113745189315746,,0.042661137878894806,,0.04300059530422004,,307200,
1962-02-13,0.042661137878894806,,0.04288744282911163,,0.042661137878894806,,0.042661137878894806,,652800,
1962-02-14,0.04186887666583061,,0.042661114498237826,,0.04186887666583061,,0.042661114498237826,,652800,
1962-02-15,0.041642602533102036,,0.04220853595645186,,0.041642602533102036,,0.0418689075260936,,652800,
1962-02-16,0.041642602533102036,,0.04243484094944342,,0.041642602533102036,,0.041642602533102036,,1190400,
1962-02-19,0.04232166334986687,,0.04232166334986687,,0.04198203512095898,,0.04198203512095898,,345600,
1962-02-20,0.042095355689525604,,0.04243481034417479,,0.04198202974387981,,0.04232165792928795,,460800,
1962-02-21,0.04186887666583061,,0.0424348096720486,,0.04186887666583061,,0.042095355022776046,,691200,
1962-02-23,0.041416265070438385,,0.042434807681250644,,0.041416265070438385,,0.041868874701582987,,1036800,
1962-02-26,0.042095355689525604,,0.04243481034417479,,0.04118996283967195,,0.041416267669445624,,768000,
1962-02-27,0.04232166334986687,,0.04243481577924632,,0.042095361081119616,,0.042095361081119616,,460800,
1962-02-28,0.041529420763254166,,0.04220850620442449,,0.04141626834651752,,0.04220850620442449,,652800,
1962-03-01,0.041303157806396484,,0.041529462869316885,,0.04073739773910946,,0.041529462869316885,,19545600,
1962-03-02,0.04175572469830513,,0.04175572469830513,,0.041416267455398996,,0.041416267455398996,,806400,
1962-03-05,0.041189953684806824,,0.04175571563349495,,0.041189953684806824,,0.04175571563349495,,652800,
1962-03-06,0.042095355689525604,,0.042095355689525604,,0.041642572499219294,,0.041642572499219294,,883200,
1962-03-07,0.041529420763254166,,0.04209535637769921,,0.041529420763254166,,0.04209535637769921,,691200,
1962-03-08,0.041642602533102036,,0.04198206002258938,,0.041416297540110475,,0.041529450036606255,,883200,
1962-03-09,0.041189953684806824,,0.04181237729871858,,0.040850499105604704,,0.04164256324375733,,1113600,
1962-03-12,0.042095355689525604,,0.042095355689525604,,0.041642572499219294,,0.041642572499219294,,998400,
1962-03-13,0.04276731237769127,,0.04276731237769127,,0.04242565011619666,,0.04242565011619666,,1344000,
1962-03-14,0.042824383825063705,,0.04293827135648998,,0.04259660876221115,,0.04276735403370194,,1689600,
1962-03-15,0.042596571147441864,,0.04293823344001688,,0.042596571147441864,,0.04282434600915854,,883200,
1962-03-16,0.042596571147441864,,0.04276731626815671,,0.042596571147441864,,0.042596571147441864,,768000,
1962-03-19,0.042824383825063705,,0.04305215888791626,,0.04259660876221115,,0.04259660876221115,,921600,
1962-03-20,0.04327991604804993,,0.04327991604804993,,0.04282436611078285,,0.04282436611078285,,1305600,
1962-03-21,0.043849311769008636,,0.044077086534569924,,0.04350764962066671,,0.04350764962066671,,2188800,
1962-03-22,0.04430488124489784,,0.044532656112996734,,0.0439632189427495,,0.0439632189427495,,1344000,
1962-03-23,0.045102253556251526,,0.04544391576917714,,0.044646526674242314,,0.044646526674242314,,1497600,
1962-03-26,0.044532664120197296,,0.04544393580759432,,0.044418776665670304,,0.045102273444013345,,1420800,
1962-03-27,0.04419099912047386,,0.04430488656820709,,0.04396322422500742,,0.04430488656820709,,844800,
1962-03-28,0.043849311769008636,,0.044190973917350565,,0.043849311769008636,,0.044190973917350565,,460800,
1962-03-29,0.043963219970464706,,0.04441876971731175,,0.043735445097041185,,0.04384933253375294,,1036800,
1962-03-30,0.04327991604804993,,0.04396323834711378,,0.04327991604804993,,0.04396323834711378,,1382400,
1962-04-02,0.043849311769008636,,0.044077086534569924,,0.043052102696378575,,0.043279877461939856,,1152000,
1962-04-03,0.042482681572437286,,0.04407710291714633,,0.0421408472459697,,0.043849328066925694,,1228800,
1962-04-04,0.04299508407711983,,0.04362155090763338,,0.04282434158089619,,0.04282434158089619,,1459200,
1962-04-05,0.04305212199687958,,0.043450639382898566,,0.042824347129205576,,0.04299508964755056,,1036800,
1962-04-06,0.04373543709516525,,0.04396321192691488,,0.04327989003850119,,0.04327989003850119,,729600,
1962-04-09,0.043849311769008636,,0.044190973917350565,,0.043849311769008636,,0.043849311769008636,,537600,
1962-04-10,0.043849311769008636,,0.044190973917350565,,0.043849311769008636,,0.043849311769008636,,614400,
1962-04-11,0.042824383825063705,,0.04407714406391493,,0.04265346650227566,,0.04384936900106237,,883200,
1962-04-12,0.04202694445848465,,0.04259655342696011,,0.04191305707500431,,0.04259655342696011,,1075200,
1962-04-13,0.04327991604804993,,0.04327991604804993,,0.04134365937027554,,0.04202698166933939,,1804800,
1962-04-16,0.043393753468990326,,0.04396319026782325,,0.043165981356291065,,0.04327986871605765,,2227200,
1962-04-17,0.04362154379487038,,0.043849318595893846,,0.043052109399146554,,0.043393768993846914,,1152000,
1962-04-18,0.043849311769008636,,0.043849311769008636,,0.04350764962066671,,0.043621537003447355,,691200,
1962-04-19,0.04390637204051018,,0.04390637204051018,,0.043621564769899306,,0.04384933968044625,,806400,
1962-04-23,0.043963219970464706,,0.04441876971731175,,0.04379247744780981,,0.04390636488452158,,691200,
1962-04-24,0.04419099912047386,,0.04419099912047386,,0.04362156188180775,,0.04396322422500742,,883200,
1962-04-25,0.04362154379487038,,0.04407709339691731,,0.04362154379487038,,0.04407709339691731,,422400,
1962-04-26,0.043393753468990326,,0.043849302908056664,,0.04305209399652448,,0.043621528188523495,,806400,
1962-04-27,0.043849311769008636,,0.043849311769008636,,0.043165990079159215,,0.04339376223788607,,883200,
1962-04-30,0.042140841484069824,,0.04339377243327182,,0.04191306666499274,,0.04339377243327182,,1382400,
1962-05-01,0.04271046444773674,,0.04282435189424593,,0.04191308027100345,,0.04214085516402183,,1574400,
1962-05-02,0.043222855776548386,,0.04327988811434676,,0.042938225881912075,,0.042938225881912075,,1305600,
1962-05-03,0.04373543709516525,,0.04373543709516525,,0.04305211520675156,,0.04322285769816725,,844800,
1962-05-04,0.043393753468990326,,0.04390633522029282,,0.043393753468990326,,0.04373541554829008,,537600,
1962-05-07,0.04293825104832649,,0.04373546078442265,,0.04293825104832649,,0.04339379835173718,,691200,
1962-05-08,0.04242568835616112,,0.04350770324488675,,0.04242568835616112,,0.04293826823597655,,1190400,
